Comment,Designator,Footprint,LCSC
540mV 1A,D1,D_SOD-323_HandSoldering,C116953
470Ω,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710
4.7uF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779
TPS613222ADBVR,U2,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C2071163
5.1Ω,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C246735
2.2uH,L1,L0806,C337893
120pF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C376930
22uF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783
0.1uF,"C1,C2,C4,C5,C6,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
ATtiny402-SS,U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C616056
BH-AAA-B5AA001,BT1,BAT-SMD_BH-AAA-B5AA001,C964881
WS2812B-4020,"LED1,LED2,LED3,LED4,LED5",LED-SMD_WS2812B-4020,C965557
