Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BH-AAA-B5AA001,BAT-SMD_BH-AAA-B5AA001,139.816843,-98.658826,180.0,top
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.968154,-71.365155,36.0,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.779414,-70.624388,-36.0,top
C3,120pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.194702,-111.127794,0.0,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.370752,-111.133189,108.0,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,174.033345,-111.392001,-109.0,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.624697,-111.508804,180.0,top
C7,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.562502,-120.000017,0.0,top
C8,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.066703,-117.223794,0.0,top
C9,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.249272,-135.653352,180.0,top
D1,540mV 1A,D_SOD-323_HandSoldering,122.194701,-113.6678,180.0,top
L1,2.2uH,L0806,114.066706,-113.66781,0.0,top
LED1,WS2812B-4020,LED-SMD_WS2812B-4020,117.680907,-69.191082,36.0,top
LED2,WS2812B-4020,LED-SMD_WS2812B-4020,162.352747,-69.191082,-36.0,top
LED3,WS2812B-4020,LED-SMD_WS2812B-4020,103.876557,-111.676525,108.0,top
LED4,WS2812B-4020,LED-SMD_WS2812B-4020,175.946679,-112.305455,-109.0,top
LED5,WS2812B-4020,LED-SMD_WS2812B-4020,140.016837,-137.933955,180.0,top
R1,5.1Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.638691,-112.651814,90.0,top
R2,470Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.577705,-131.955803,-90.0,top
U1,ATtiny402-SS,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,135.656705,-116.075819,-90.0,top
U2,TPS613222ADBVR,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,119.380712,-116.715799,180.0,top
